,Disease,Symptom
0,hypertensive disease, shortness_of_breath    syncope  sweat_sweating_increased palpitation  angina_pectoris                                                                                                                                                                                                                                                                                                                                                                                                     
1,diabetes, shortness_of_breath      sweat_sweating_increased  nausea      rale unresponsiveness mental_status_changes vomiting                                                                                                                                                                                                                                                                                                                                                                                             
2,"depression mental , depressive disorder",                         sleeplessness      worry     energy_increased    homelessness                                                                                                                                                                                                                                                                                                                                                                       
3,"coronary arteriosclerosis ,coronary heart disease",pain_chest shortness_of_breath      sweat_sweating_increased   angina_pectoris    orthopnea                             chest_tightness                                                                                                                                                                                                                                                                                                                                                                    
4,pneumonia, shortness_of_breath              rale                               decreased_translucency productive_cough    chill                                                                                                                                                                                                                                                                                                                                                            
5,failure heart congestive, shortness_of_breath              rale                             cough                 jugular_venous_distention dyspnea                                                                                                                                                                                                                                                                                                                                                 
6,accident cerebrovascular,                unresponsiveness                                               dysarthria speech_slurred facial_paresis hemiplegia seizure numbness                                                                                                                                                                                                                                                                                                                                           
7,asthma, shortness_of_breath                                              productive_cough          distress_respiratory            symptom_aggravating_factors                                                                                                                                                                                                                                                                                                                                          
8,myocardial infarction,pain_chest        palpitation  angina_pectoris     rale                          hypokinesia  chest_tightness                           st_segment_elevation                                                                                                                                                                                                                                                                                                                                         
9,hypercholesterolemia, shortness_of_breath    syncope  sweat_sweating_increased                                                       dyspnea      numbness   st_segment_depression                                                                                                                                                                                                                                                                                                                                        
10,infection,                                             fever decreased_translucency     chill                             pruritus    apyrexial                                                                                                                                                                                                                                                                                                                           
11,infection urinary tract,   asthenia                                          fever            distress_respiratory                             hematuria  lethargy hyponatremia hemodynamically_stable                                                                                                                                                                                                                                                                                                                     
12,anemia,   asthenia                                                                                swelling             tumor_cell_invasion      orthostasis arthralgia                                                                                                                                                                                                                                                                                                        
13,chronic obstructive airway disease,                                           chest_tightness cough           wheezing  distress_respiratory                                                sputum_purulent hypoxemia  patient_non_compliance                                                                                                                                                                                                                                                                                                   
14,dementia,     syncope          rale                                                                                ecchymosis               bedridden_bedridden abdominal_tenderness unsteady_gait                                                                                                                                                                                                                                                                                               
15,insufficiency renal,   asthenia                                                           dyspnea                               guaiac_positive                    hyperkalemia   hypotension                                                                                                                                                                                                                                                                                           
16,confusion,   asthenia              mental_status_changes               agitation                                   seizure                      hyponatremia                                                                                                                                                                                                                                                                                                                      
17,degenerative polyarthritis,   asthenia          polydypsia                                         non-productive_cough                       nonsmoker                                              food_intolerance numbness_of_hand                                                                                                                                                                                                                                                                                   
18,hypothyroidism,    fall                      motor_retardation                                      speech_slurred                                                                  weight_gain                                                                                                                                                                                                                                                                             
19,anxiety state,        palpitation              hallucinations_auditory     irritable_mood          difficulty                                                                                                                                                                                                                                                                                                                                                                          
20,malignant neoplasms primary malignant neoplasm,                                                                                                                   ascites                 mass_of_body_structure     lesion cushingoid_facies_cushingoid habitus emphysematous_change   thicken                                                                                                                                                                                                                                                                 
21,acquired immuno-deficiency syndrome HIV hiv infections,                    feeling_suicidal                                        night_sweat                                                patient_non_compliance                                   spontaneous_rupture_of_membranes Unnamed:_145                                                                                                                                                                                                                                                               
22,cellulitis,pain_chest                                                                              erythema    abscess_bacterial                                                                    sore_to_touch                                                                                                                                                                                                                                                         
23,gastroesophageal reflux disease,pain_chest                                                                         presence_of_q_wave                                                    general_discomfort                          burning_sensation   sensory_discomfort   heartburn                                                                                                                                                                                                                                                  
24,septicemia systemic infection sepsis (invertebrate),                unresponsiveness                             fever             tachypnea                              lethargy         haemorrhage                   hypotension                                                                                                                                                                                                                                                                                           
25,deep vein thrombosis,                                                      non-productive_cough                                                              hypotension                                             cardiomegaly clonus                                                                                                                                                                                                                                             
26,dehydration,  dizziness asthenia  syncope                                                                            diarrhea                                         lightheadedness                                         unwell  syncope_blackout_history_of_-_blackout                                                                                                                                                                                                                                          
27,neoplasm,                                                                                                                           food_intolerance         mass_of_body_structure     lesion   decreased_body_weight                pain_abdominal            hemianopsia_homonymous                                                                                                                                                                                                                                       
28,embolism pulmonary,                                                pleuritic_pain yellow_sputum     non-productive_cough wheezing       dyspnea                                                                                                            neck_stiffness                                                                                                                                                                                                                                     
29,epilepsy,                                                                                                                        sleepy      drowsiness                                               aura  gurgle wheelchair_bound                                                                                                                                                                                                                               
30,cardiomyopathy,pain_chest     syncope         orthopnea                           hypokinesia        yellow_sputum            jugular_venous_distention                                                                                                                    left atrial hypertrophy                                                                                                                                                                                                                              
31,chronic kidney failure,   asthenia           orthopnea   mental_status_changes                            fever                                       apyrexial                                                                                              oliguria                                                                                                                                                                                                                             
32,carcinoma,         nausea                                                                                                                                lesion     thicken             constipation                            lung_nodule                                                                                                                                                                                                                        
33,hepatitis C,                                                   chill                                                                ascites                                                                     distended_abdomen ache  heavy_feeling                                                                                                                                                                                                                    
34,peripheral vascular disease, shortness_of_breath               unresponsiveness                                                                                                 hyperkalemia       sleepy                                                                                                                                                                                                                                                                                       
35,psychotic disorder,                     suicidal     motor_retardation irritable_mood         energy_increased  nightmare  homelessness                                                                                                                                                                                                                                                                                                                                                                       
36,hyperlipidemia, shortness_of_breath      sweat_sweating_increased palpitation                                                                 presence_of_q_wave                                                                                                                                                                                                                                                                                                                                      
37,bipolar disorder,                      hallucinations_auditory  weepiness sleeplessness  irritable_mood      tremor                                                                                                                                                                  disturbed_family  hyperhidrosis_disorder                                                                                                                                                                                                          
38,obesity, shortness_of_breath                            mood_depressed                                                                                                      fatigue_tired  has_religious_belief                                              catatonia                        r_wave_feature  systolic_murmur                                                                                                                                                                                                  
39,ischemia,pain_chest               rale                                               dyspnea            chest_discomfort bradycardia                                                                                         anorexia                                          asymptomatic                                                                                                                                                                                                 
40,cirrhosis,                                                                                pruritus          hemodynamically_stable   guaiac_positive                      ascites                      lesion             sore_to_touch                                                         splenomegaly                                                                                                                                                                                                
41,exanthema,                                                                                pruritus   swelling                    arthralgia                  headache                                                                                        macule                                                                                                                                                                                              
42,benign prostatic hypertrophy,              orthopnea   mental_status_changes           blackout                                night_sweat   dysarthria                                       orthostasis                                                                                                                                                                                                                                                                                                         
43,kidney failure acute,"   asthenia             unresponsiveness                                                                 diarrhea                haemorrhage                hyperkalemia   hypotension                                                                                                  hypothermia,_natural                                                                                                                                                                                         "
44,mitral valve insufficiency, shortness_of_breath                                        hypokinesia                                                                                                                        cardiomegaly                left atrial hypertrophy                                                                                                                                                                                                                              
